idpackets_db,STX,length,"Sequence Number",Direct,CMD,"Sensor ID","Sensor Number",Data,Checksum,ETX,Time
11647,33,0073,af,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a30345d20526563762050495220446174612049445b307834345d204e756d5b3078325d20436e745b305d204d61736b5b3078202020305d204261745b3130305d20436f6d5b305d20525353495b2d33325d,26,55,"12/03/2022, 19:25:17.238747"
11648,33,0074,b0,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a30365d20526563762042696f20446174612050445b315d204143545b375d2042525b31385d2048525b35365d20585b3235355d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,9e,55,"12/03/2022, 19:25:19.556967"
11649,33,002e,b1,91,36,23,01,ffff0c4f004f00380038003c00380038003800380038003800380000000000061c066400f6ff,27,55,"12/03/2022, 19:25:19.750399"
11650,33,0052,b2,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32383a30375d2053656e736f722044617461205265706f72742049445b307832335d204e756d5b3078315d204757204261745b3130305d,6a,55,"12/03/2022, 19:25:19.944216"
11651,33,002e,b3,91,36,24,01,ffff0c1300110013001a0017001500150015001a0018001600120000000000061c066400f6ff,59,55,"12/03/2022, 19:25:20.137332"
11652,33,0052,b4,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32383a30375d2053656e736f722044617461205265706f72742049445b307832345d204e756d5b3078315d204757204261745b3130305d,6d,55,"12/03/2022, 19:25:20.330187"
11653,33,001d,b5,91,36,25,01,ffff0c4700000001ff0600000000061c066400f6ff,97,55,"12/03/2022, 19:25:24.198570"
11654,33,0052,b6,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32383a30375d2053656e736f722044617461205265706f72742049445b307832355d204e756d5b3078315d204757204261745b3130305d,70,55,"12/03/2022, 19:25:24.391548"
11655,33,0074,b7,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a31315d20526563762042696f20446174612050445b315d204143545b325d2042525b32335d2048525b35365d20585b3235355d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,98,55,"12/03/2022, 19:25:29.222158"
11656,33,0072,b8,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a31365d20526563762042696f20446174612050445b315d204143545b375d2042525b31395d2048525b35365d20585b305d20595b395d204261745b3130305d20436f6d5b305d20525353495b2d31305d,3d,55,"12/03/2022, 19:25:29.415626"
11657,33,0072,b9,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a32315d20526563762042696f20446174612050445b315d204143545b395d2042525b31365d2048525b36375d20585b305d20595b385d204261745b3130305d20436f6d5b305d20525353495b2d31305d,3a,55,"12/03/2022, 19:25:34.447202"
11658,33,0074,ba,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a32365d20526563762042696f20446174612050445b315d204143545b395d2042525b32335d2048525b38365d20585b3235355d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,ac,55,"12/03/2022, 19:25:39.564614"
11659,33,0072,bb,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a33315d20526563762042696f20446174612050445b315d204143545b395d2042525b31375d2048525b38365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,3d,55,"12/03/2022, 19:25:44.402745"
11660,33,0074,bc,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a33365d20526563762042696f20446174612050445b315d204143545b385d2042525b31385d2048525b38365d20585b3235355d20595b355d204261745b3130305d20436f6d5b305d20525353495b2d31305d,b0,55,"12/03/2022, 19:25:49.421500"
11661,33,0072,bd,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a34315d20526563762042696f20446174612050445b315d204143545b345d2042525b32345d2048525b38365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,39,55,"12/03/2022, 19:25:54.450468"
11662,33,0074,be,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a34365d20526563762042696f20446174612050445b315d204143545b335d2042525b32335d2048525b36375d20585b3235355d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,aa,55,"12/03/2022, 19:25:59.565235"
11663,33,0072,bf,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a35315d20526563762042696f20446174612050445b315d204143545b385d2042525b32335d2048525b36375d20585b305d20595b355d204261745b3130305d20436f6d5b305d20525353495b2d31305d,3d,55,"12/03/2022, 19:26:04.397108"
11664,33,0074,c0,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32383a35365d20526563762042696f20446174612050445b315d204143545b355d2042525b32315d2048525b36375d20585b3235355d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,ae,55,"12/03/2022, 19:26:09.428192"
11665,33,0036,c1,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32393a30315d20203d3d3d3e2041444320417665725b323538375d,50,55,"12/03/2022, 19:26:13.262342"
11666,33,0072,c2,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a30315d20526563762042696f20446174612050445b315d204143545b395d2042525b31385d2048525b36375d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,42,55,"12/03/2022, 19:26:14.452963"
11667,33,006f,c3,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32393a30345d2052656376204b4120504952205b325d204261745b3230305d2053656e73696e6720506572696f645b31343430305d205265706f727420506572696f645b31343430305d20525353495b2d33345d,cf,55,"12/03/2022, 19:26:17.067615"
11668,33,0073,c4,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32393a30345d20526563762050495220446174612049445b307834345d204e756d5b3078325d20436e745b305d204d61736b5b3078202020305d204261745b3130305d20436f6d5b305d20525353495b2d33345d,3e,55,"12/03/2022, 19:26:17.453838"
